,prompt,completion
38,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>donkey structure identity pole</div></div><div></div></div></div></div><div></div></div></div><div></div></div><div><div></div><div><div><div><div><div><div><div><div></div><div><span></span><span></span></div><div><span>jungle field oil</span><span>telephone important</span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div></div></div></div></div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span><span></span></div><div><span>sweet equal teacher</span><span>perfectly pony</span><span>her trap flies</span><span>present last</span></div></div></div></div><div><div role=""alert""><div>occur state kind water noted</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><label title=""position"">position</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>position</span></label></div></div></div></div></div></div><div></div></div></form>","[{""label"":""beauty"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""donkey structure identity pole"",""text"":null,""type"":""switch"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""central rich grow"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""gently put operation arrow winter"",""min"":-100,""max"":100,""step"":1,""marks"":{""77"":""telephone important"",""-60"":""jungle field oil""},""reversed"":false,""vertical"":false,""range"":false,""graduated"":true,""type"":""slider"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""kitchen gravity necessary"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""meet theory star discuss classroom fireplace stiff"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""what straight"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":null,""maxTagCount"":2,""mode"":""single"",""options"":null,""type"":""select""},{""label"":""call"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""occur state kind water noted"",""min"":-100,""max"":100,""step"":3,""marks"":{""29"":""her trap flies"",""59"":""present last"",""-25"":""perfectly pony"",""-36"":""sweet equal teacher""},""reversed"":false,""vertical"":false,""range"":false,""graduated"":false,""type"":""slider"",""options"":null},{""label"":""position"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":null,""renderAs"":null,""type"":""radio"",""options"":null},{""label"":null,""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""pull plastic make explanation nest cup younger electricity sat taste"",""maxTagCount"":1,""multiple"":true,""options"":null,""type"":""cascader""}]"
39,"<form><div><div></div></div><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>judge left instead forty electric good world</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""87"" autocomplete=""off"" role=""spinbutton"" step=""7"" value=""87""/></div></div><span><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>range unit somehow negative feathers sent</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""forgot mainly afraid"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""judge left instead forty electric good world"",""text"":null,""type"":""switch"",""options"":null},{""label"":""last flat"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""range unit somehow negative feathers sent"",""min"":-100,""max"":100,""step"":7,""type"":""number"",""options"":null}]"
40,"<form><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""""/></span><span></span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""-35"" autocomplete=""off"" role=""spinbutton"" step=""2"" value=""-35""/></div></div><span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div></div></div></div></div></div><div><div></div><div><div><div><div><label title=""shop screen"">shop screen</label></div><div><div><div><label><span><input type=""checkbox"" value=""""/><span></span></span><span>shop screen</span></label></div></div><div><div role=""alert""><div>lunch send sort ocean state pupil</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div></div></div></form>","[{""label"":""land excellent weigh"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""serve great shop composition slowly stretch flew few massage"",""options"":null,""type"":""autoComplete""},{""label"":""meal"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""atom rush swam post fur"",""text"":null,""type"":""switch"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""suddenly"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":null,""min"":-100,""max"":100,""step"":2,""type"":""number"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""shop screen"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""lunch send sort ocean state pupil"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""small modern"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""everybody lesson visit weather should"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null}]"
41,"<form><div><div><div><div><div><label title=""wheat past street"">wheat past street</label></div><div><div><div><label><span><input type=""checkbox"" value=""""/><span></span></span><span>wheat past street</span></label></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div><div><div><div><div><div><label title=""hour"">hour</label></div><div><div><div><label><span><input type=""radio"" value=""""/><span></span></span><span>hour</span></label></div></div><div><div role=""alert""><div>week member element expression smile expect</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""wheat past street"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""strange meat properly worried asleep cover stared giving"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""evening determine"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""note question doubt enter design claws gold"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""hour"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""week member element expression smile expect"",""renderAs"":null,""type"":""radio"",""options"":null}]"
42,"<form><div><div></div><div><div><div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span></span></label></div></div><div><div role=""alert""><div>against made problem vast flew</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""23"" autocomplete=""off"" role=""spinbutton"" step=""1"" value=""23""/></div></div><span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>tie purple end world steady got character</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""against made problem vast flew"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""highway"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""tie purple end world steady got character"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null}]"
43,"<form><div><div><div><div><div><label title=""kids duck"">kids duck</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>kids duck</span></label></div></div><div><div role=""alert""><div>solve cap independent sets</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><label title=""equator"">equator</label></div><div><div><div><label><span><input type=""radio"" value=""""/><span></span></span><span>equator</span></label></div></div><div><div role=""alert""><div>notice route result wrote practical drawn practice drew</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""kids duck"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""solve cap independent sets"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""equator"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""notice route result wrote practical drawn practice drew"",""renderAs"":null,""type"":""radio"",""options"":null}]"
44,"<form><div><div><div><div><div><label title=""saved date"">saved date</label></div><div><div><div><label><span><input type=""radio"" value=""""/><span></span></span><span>saved date</span></label></div></div><div><div role=""alert""><div>tune studying older belong</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""saved date"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""tune studying older belong"",""renderAs"":null,""type"":""radio"",""options"":null}]"
45,"<form><div><div><div><div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span></span></label></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div></div></div></form>","[{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""afraid store series parallel needs"",""renderAs"":{""type"":""button"",""values"":{""label"":[""stick""]}},""type"":""radio"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
46,"<form><div><div></div></div><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>seat expression beauty shorter how fastened</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""pull hard""/></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>fall noise settlers</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""follow milk held"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""seat expression beauty shorter how fastened"",""text"":null,""type"":""switch"",""options"":null},{""label"":""direction interest found"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""fall noise settlers"",""options"":null,""type"":""autoComplete""}]"
47,"<form><div><div></div><div></div></div><div><div></div><div></div></div><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>on tide ruler near brass imagine</div></div><div></div></div></div></div><div></div></div></div><div></div></div></form>","[{""type"":""upload"",""options"":null,""defaultValue"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""our finally daily"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""in lucky rope mountain"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""rising"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""on tide ruler near brass imagine"",""text"":null,""type"":""switch"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
48,"<form><div><div></div></div><div><div></div></div><div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>pack position balance affect remember one dig limited telephone</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""except temperature"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""model closer tea"",""maxTagCount"":5,""multiple"":true,""options"":null,""type"":""cascader""},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""substance log"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""pack position balance affect remember one dig limited telephone"",""text"":null,""type"":""switch"",""options"":null}]"
49,"<form><div><div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""ocean policeman""/></span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""worker whistle"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":null,""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""her roar"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""ship birth fill root production saddle flower film silent manufacturing"",""options"":null,""type"":""autoComplete""}]"
